word,entity,name,alignment
Many,O,X,X
years,O,X,X
ago,O,X,X
there,O,X,X
was,O,X,X
an,B,Emperor,neutral
Emperor,I,Emperor,neutral
so,O,X,X
exceedingly,O,X,X
fond,O,X,X
of,O,X,X
new,O,X,X
clothes,O,X,X
that,O,X,X
he,O,X,X
spent,O,X,X
all,O,X,X
his,O,X,X
money,O,X,X
on,O,X,X
being,O,X,X
well,O,X,X
dressed,O,X,X
He,O,X,X
cared,O,X,X
nothing,O,X,X
about,O,X,X
reviewing,O,X,X
his,O,X,X
soldiers,B,Soldiers,neutral
going,O,X,X
to,O,X,X
the,O,X,X
theatre,O,X,X
or,O,X,X
going,O,X,X
for,O,X,X
a,O,X,X
ride,O,X,X
in,O,X,X
his,O,X,X
carriage,O,X,X
except,O,X,X
to,O,X,X
show,O,X,X
off,O,X,X
his,O,X,X
new,O,X,X
clothes,O,X,X
He,O,X,X
had,O,X,X
a,O,X,X
coat,O,X,X
for,O,X,X
every,O,X,X
hour,O,X,X
of,O,X,X
the,O,X,X
day,O,X,X
and,O,X,X
instead,O,X,X
of,O,X,X
saying,O,X,X
as,O,X,X
one,O,X,X
might,O,X,X
about,O,X,X
any,O,X,X
other,O,X,X
ruler,O,X,X
The,B,Emperor,neutral
Kings,I,Emperor,neutral
in,O,X,X
council,O,X,X
here,O,X,X
they,O,X,X
always,O,X,X
said,O,X,X
The,B,Emperor,neutral
Emperors,I,Emperor,neutral
in,O,X,X
his,O,X,X
dressing,O,X,X
room,O,X,X
In,O,X,X
the,O,X,X
great,O,X,X
city,O,X,X
where,O,X,X
he,O,X,X
lived,O,X,X
life,O,X,X
was,O,X,X
always,O,X,X
gay,O,X,X
Every,O,X,X
day,O,X,X
many,O,X,X
strangers,O,X,X
came,O,X,X
to,O,X,X
town,O,X,X
and,O,X,X
among,O,X,X
them,O,X,X
one,O,X,X
day,O,X,X
came,O,X,X
two,B,Swindlers,bad
swindlers,I,Swindlers,bad
They,O,X,X
let,O,X,X
it,O,X,X
be,O,X,X
known,O,X,X
they,O,X,X
were,O,X,X
weavers,B,Swindlers,bad
and,O,X,X
they,O,X,X
said,O,X,X
they,O,X,X
could,O,X,X
weave,O,X,X
the,O,X,X
most,O,X,X
