word,entity,name,alignment
It,O,X,X
is,O,X,X
in,O,X,X
the,O,X,X
hot,O,X,X
countries,O,X,X
that,O,X,X
the,O,X,X
sun,O,X,X
burns,O,X,X
down,O,X,X
in,O,X,X
earnest,O,X,X
turning,O,X,X
the,O,X,X
people,O,X,X
there,O,X,X
a,O,X,X
deep,O,X,X
mahoganybrown,O,X,X
In,O,X,X
the,O,X,X
hottest,O,X,X
countries,O,X,X
of,O,X,X
all,O,X,X
they,O,X,X
are,O,X,X
seared,O,X,X
into,O,X,X
negroes,O,X,X
but,O,X,X
it,O,X,X
was,O,X,X
not,O,X,X
quite,O,X,X
that,O,X,X
hot,O,X,X
in,O,X,X
this,O,X,X
country,O,X,X
to,O,X,X
which,O,X,X
a,B,Scholar,good
man,I,Scholar,good
of,O,X,X
learning,O,X,X
had,O,X,X
come,O,X,X
from,O,X,X
the,O,X,X
colder,O,X,X
north,O,X,X
He,O,X,X
expected,O,X,X
to,O,X,X
go,O,X,X
about,O,X,X
there,O,X,X
just,O,X,X
as,O,X,X
he,O,X,X
had,O,X,X
at,O,X,X
home,O,X,X
but,O,X,X
he,O,X,X
soon,O,X,X
discovered,O,X,X
that,O,X,X
this,O,X,X
was,O,X,X
a,O,X,X
mistake,O,X,X
He,O,X,X
and,O,X,X
other,O,X,X
sensible,O,X,X
souls,O,X,X
had,O,X,X
to,O,X,X
stay,O,X,X
inside,O,X,X
The,O,X,X
shutters,O,X,X
were,O,X,X
drawn,O,X,X
and,O,X,X
the,O,X,X
doors,O,X,X
were,O,X,X
closed,O,X,X
all,O,X,X
day,O,X,X
long,O,X,X
It,O,X,X
looked,O,X,X
just,O,X,X
as,O,X,X
if,O,X,X
everyone,O,X,X
were,O,X,X
asleep,O,X,X
or,O,X,X
away,O,X,X
from,O,X,X
home,O,X,X
The,O,X,X
narrow,O,X,X
street,O,X,X
of,O,X,X
high,O,X,X
houses,O,X,X
where,O,X,X
he,O,X,X
lived,O,X,X
was,O,X,X
so,O,X,X
situated,O,X,X
that,O,X,X
from,O,X,X
morning,O,X,X
till,O,X,X
night,O,X,X
the,O,X,X
sun,O,X,X
beat,O,X,X
down,O,X,X
on,O,X,X
it,O,X,X
unbearably,O,X,X
To,O,X,X
this,O,X,X
young,B,Scholar,good
and,I,Scholar,good
clever,I,Scholar,good
scholar,I,Scholar,good
from,O,X,X
the,O,X,X
colder,O,X,X
north,O,X,X
it,O,X,X
felt,O,X,X
as,O,X,X
if,O,X,X
he,O,X,X
were,O,X,X
sitting,O,X,X
in,O,X,X
a,O,X,X
blazing,O,X,X
hot,O,X,X
oven,O,X,X
It,O,X,X
exhausted,O,X,X
him,O,X,X
so,O,X,X
that,O,X,X
he,O,X,X
became,O,X,X
very,O,X,X
thin,O,X,X
and,O,X,X
even,O,X,X
his,O,X,X
shadow,B,Old Shadow,bad
shrank,O,X,X
much,O,X,X
smaller,O,X,X
than,O,X,X
it,O,X,X
had,O,X,X
been,O,X,X
at,O,X,X
home,O,X,X
Only,O,X,X
in,O,X,X
the,O,X,X
evenings,O,X,X
after,O,X,X
sundown,O,X,X
did,O,X,X
the,B,Scholar,good
man,I,Scholar,good
and,O,X,X
his,O,X,X
shadow,B,Old Shadow,bad
begin,O,X,X
to,O,X,X
recover,O,X,X
This,O,X,X
was,O,X,X
really,O,X,X
a,O,X,X
joy,O,X,X
to,O,X,X
see,O,X,X
As,O,X,X
soon,O,X,X
as,O,X,X
a,O,X,X
candle,O,X,X
was,O,X,X
brought,O,X,X
into,O,X,X
the,O,X,X
room,O,X,X
the,O,X,X
shadow,B,Old Shadow,bad
had,O,X,X
to,O,X,X
stretch,O,X,X
itself,O,X,X
to,O,X,X
get,O,X,X
its,O,X,X
strength,O,X,X
back,O,X,X
It,O,X,X
stretched,O,X,X
up,O,X,X
to,O,X,X
the,O,X,X
wall,O,X,X
yes,O,X,X
even,O,X,X
along,O,X,X
the,O,X,X
ceiling,O,X,X
so,O,X,X
tall,O,X,X
did,O,X,X
it,O,X,X
grow,O,X,X
To,O,X,X
stretch,O,X,X
himself,O,X,X
the,B,Scholar,good
scholar,I,Scholar,good
went,O,X,X
out,O,X,X
on,O,X,X
the,O,X,X
balcony,O,X,X
As,O,X,X
soon,O,X,X
as,O,X,X
the,O,X,X
stars,O,X,X
came,O,X,X
out,O,X,X
in,O,X,X
the,O,X,X
beautifully,O,X,X
clear,O,X,X
sky,O,X,X
he,O,X,X
felt,O,X,X
as,O,X,X
if,O,X,X
he,O,X,X
had,O,X,X
come,O,X,X
back,O,X,X
to,O,X,X
life,O,X,X
In,O,X,X
warm,O,X,X
countries,O,X,X
each,O,X,X
window,O,X,X
has,O,X,X
a,O,X,X
balcony,O,X,X
and,O,X,X
in,O,X,X
all,O,X,X
the,O,X,X
balconies,O,X,X
up,O,X,X
and,O,X,X
down,O,X,X
the,O,X,X
street,O,X,X
people,O,X,X
came,O,X,X
out,O,X,X
to,O,X,X
breathe,O,X,X
the,O,X,X
fresh,O,X,X
air,O,X,X
that,O,X,X
one,O,X,X
needs,O,X,X
even,O,X,X
if,O,X,X
one,O,X,X
is,O,X,X
already,O,X,X
a,O,X,X
fine,O,X,X
mahoganybrown,O,X,X
Both,O,X,X
up,O,X,X
above,O,X,X
and,O,X,X
down,O,X,X
below,O,X,X
things,O,X,X
became,O,X,X
lively,O,X,X
Tailors,O,X,X
shoemakers,O,X,X
everybody,O,X,X
moved,O,X,X
out,O,X,X
in,O,X,X
the,O,X,X
street,O,X,X
Chairs,O,X,X
and,O,X,X
tables,O,X,X
were,O,X,X
brought,O,X,X
out,O,X,X
and,O,X,X
candles,O,X,X
were,O,X,X
lighted,O,X,X
yes,O,X,X
candles,O,X,X
by,O,X,X
the,O,X,X
thousand,O,X,X
One,O,X,X
man,O,X,X
talked,O,X,X
another,O,X,X
sang,O,X,X
people,O,X,X
strolled,O,X,X
about,O,X,X
carriages,O,X,X
drove,O,X,X
by,O,X,X
and,O,X,X
donkeys,O,X,X
trotted,O,X,X
along,O,X,X
tingalingaling,O,X,X
for,O,X,X
their,O,X,X
harness,O,X,X
had,O,X,X
bells,O,X,X
on,O,X,X
it,O,X,X
There,O,X,X
were,O,X,X
church,O,X,X
bells,O,X,X
ringing,O,X,X
hymn,O,X,X
singing,O,X,X
and,O,X,X
funeral,O,X,X
processions,O,X,X
There,O,X,X
were,O,X,X
boys,O,X,X
in,O,X,X
the,O,X,X
street,O,X,X
firing,O,X,X
off,O,X,X
Roman,O,X,X
candles,O,X,X
Oh,O,X,X
yes,O,X,X
it,O,X,X
was,O,X,X
lively,O,X,X
as,O,X,X
lively,O,X,X
can,O,X,X
be,O,X,X
down,O,X,X
in,O,X,X
that,O,X,X
street,O,X,X
Only,O,X,X
one,O,X,X
house,O,X,X
was,O,X,X
quiet,O,X,X
the,O,X,X
one,O,X,X
directly,O,X,X
across,O,X,X
from,O,X,X
where,O,X,X
the,B,Scholar,good
scholarly,I,Scholar,good
stranger,I,Scholar,good
lived,O,X,X
Yet,O,X,X
someone,O,X,X
lived,O,X,X
there,O,X,X
for,O,X,X
flowers,O,X,X
on,O,X,X
the,O,X,X
balcony,O,X,X
grew,O,X,X
and,O,X,X
thrived,O,X,X
under,O,X,X
that,O,X,X
hot,O,X,X
sun,O,X,X
which,O,X,X
they,O,X,X
could,O,X,X
not,O,X,X
have,O,X,X
done,O,X,X
unless,O,X,X
they,O,X,X
were,O,X,X
watered,O,X,X
So,O,X,X
someone,O,X,X
must,O,X,X
be,O,X,X
watering,O,X,X
them,O,X,X
and,O,X,X
there,O,X,X
must,O,X,X
be,O,X,X
people,O,X,X
in,O,X,X
the,O,X,X
house,O,X,X
Along,O,X,X
in,O,X,X
the,O,X,X
evening,O,X,X
as,O,X,X
a,O,X,X
matter,O,X,X
of,O,X,X
fact,O,X,X
the,O,X,X
door,O,X,X
across,O,X,X
the,O,X,X
street,O,X,X
was,O,X,X
opened,O,X,X
But,O,X,X
it,O,X,X
was,O,X,X
dark,O,X,X
inside,O,X,X
at,O,X,X
least,O,X,X
in,O,X,X
the,O,X,X
front,O,X,X
room,O,X,X
From,O,X,X
somewhere,O,X,X
in,O,X,X
the,O,X,X
house,O,X,X
farther,O,X,X
back,O,X,X
came,O,X,X
the,O,X,X
sound,O,X,X
of,O,X,X
music,O,X,X
The,B,Scholar,good
scholarly,I,Scholar,good
stranger,I,Scholar,good
thought,O,X,X
the,O,X,X
music,O,X,X
was,O,X,X
marvelous,O,X,X
but,O,X,X
it,O,X,X
is,O,X,X
quite,O,X,X
possible,O,X,X
that,O,X,X
he,O,X,X
only,O,X,X
imagined,O,X,X
this,O,X,X
for,O,X,X
out,O,X,X
there,O,X,X
in,O,X,X
the,O,X,X
warm,O,X,X
countries,O,X,X
he,O,X,X
thought,O,X,X
everything,O,X,X
was,O,X,X
marvelous,O,X,X
except,O,X,X
the,O,X,X
sun,O,X,X
The,B,Scholar,good
strangers,I,Scholar,good
landlord,B,Landlord,neutral
said,O,X,X
that,O,X,X
he,O,X,X
didnt,O,X,X
know,O,X,X
who,O,X,X
had,O,X,X
rented,O,X,X
the,O,X,X
house,O,X,X
across,O,X,X
the,O,X,X
street,O,X,X
No,O,X,X
one,O,X,X
was,O,X,X
ever,O,X,X
to,O,X,X
be,O,X,X
seen,O,X,X
over,O,X,X
there,O,X,X
and,O,X,X
as,O,X,X
for,O,X,X
the,O,X,X
music,O,X,X
he,O,X,X
found,O,X,X
it,O,X,X
extremely,O,X,X
tiresome,O,X,X
He,O,X,X
said,O,X,X
Its,O,X,X
just,O,X,X
as,O,X,X
if,O,X,X
somebody,O,X,X
sits,O,X,X
there,O,X,X
practicing,O,X,X
a,O,X,X
piece,O,X,X
thats,O,X,X
beyond,O,X,X
him,O,X,X
always,O,X,X
the,O,X,X
selfsame,O,X,X
piece,O,X,X
Ill,O,X,X
play,O,X,X
it,O,X,X
right,O,X,X
yet,O,X,X
he,O,X,X
probably,O,X,X
says,O,X,X
but,O,X,X
he,O,X,X
doesnt,O,X,X
no,O,X,X
matter,O,X,X
how,O,X,X
long,O,X,X
he,O,X,X
tries,O,X,X
One,O,X,X
night,O,X,X
the,B,Scholar,good
stranger,I,Scholar,good
woke,O,X,X
up,O,X,X
He,O,X,X
slept,O,X,X
with,O,X,X
the,O,X,X
windows,O,X,X
to,O,X,X
his,O,X,X
balcony,O,X,X
open,O,X,X
and,O,X,X
as,O,X,X
the,O,X,X
breeze,O,X,X
blew,O,X,X
his,O,X,X
curtain,O,X,X
aside,O,X,X
he,O,X,X
fancied,O,X,X
that,O,X,X
a,O,X,X
marvelous,O,X,X
radiance,O,X,X
came,O,X,X
from,O,X,X
the,O,X,X
balcony,O,X,X
across,O,X,X
the,O,X,X
street,O,X,X
