word,entity,name,alignment
Far,O,X,X
far,O,X,X
away,O,X,X
where,O,X,X
the,O,X,X
swallows,O,X,X
fly,O,X,X
when,O,X,X
we,O,X,X
have,O,X,X
winter,O,X,X
there,O,X,X
lived,O,X,X
a,B,Father,neutral
King,I,Father,neutral
who,O,X,X
had,O,X,X
eleven,B,Princes,good
sons,I,Princes,good
and,O,X,X
one,B,Elisa,good
daughter,I,Elisa,good
Elisa,I,Elisa,good
The,B,Princes,good
eleven,I,Princes,good
brothers,I,Princes,good
Princes,I,Princes,good
all,O,X,X
each,O,X,X
went,O,X,X
to,O,X,X
school,O,X,X
with,O,X,X
a,O,X,X
star,O,X,X
at,O,X,X
his,O,X,X
breast,O,X,X
and,O,X,X
a,O,X,X
sword,O,X,X
at,O,X,X
his,O,X,X
side,O,X,X
They,O,X,X
wrote,O,X,X
with,O,X,X
pencils,O,X,X
of,O,X,X
diamond,O,X,X
upon,O,X,X
golden,O,X,X
slates,O,X,X
and,O,X,X
could,O,X,X
say,O,X,X
their,O,X,X
lesson,O,X,X
by,O,X,X
heart,O,X,X
just,O,X,X
as,O,X,X
easily,O,X,X
as,O,X,X
they,O,X,X
could,O,X,X
read,O,X,X
it,O,X,X
from,O,X,X
the,O,X,X
book,O,X,X
You,O,X,X
could,O,X,X
tell,O,X,X
at,O,X,X
a,O,X,X
glance,O,X,X
how,O,X,X
princely,O,X,X
they,O,X,X
were,O,X,X
Their,O,X,X
sister,B,Elisa,good
Elisa,I,Elisa,good
sat,O,X,X
on,O,X,X
a,O,X,X
little,O,X,X
footstool,O,X,X
of,O,X,X
flawless,O,X,X
glass,O,X,X
She,O,X,X
had,O,X,X
a,O,X,X
picture,O,X,X
book,O,X,X
that,O,X,X
had,O,X,X
cost,O,X,X
half,O,X,X
a,O,X,X
kingdom,O,X,X
Oh,O,X,X
the,B,Children,good
children,I,Children,good
had,O,X,X
a,O,X,X
very,O,X,X
fine,O,X,X
time,O,X,X
but,O,X,X
it,O,X,X
did,O,X,X
not,O,X,X
last,O,X,X
forever,O,X,X
Their,O,X,X
father,B,Father,neutral
who,O,X,X
was,O,X,X
King,B,Father,neutral
over,O,X,X
the,O,X,X
whole,O,X,X
country,O,X,X
married,O,X,X
a,B,Queen,bad
wicked,I,Queen,bad
Queen,I,Queen,bad
who,O,X,X
did,O,X,X
not,O,X,X
treat,O,X,X
his,O,X,X
poor,B,Children,good
children,I,Children,good
at,O,X,X
all,O,X,X
well,O,X,X
They,O,X,X
found,O,X,X
that,O,X,X
out,O,X,X
the,O,X,X
very,O,X,X
first,O,X,X
day,O,X,X
There,O,X,X
was,O,X,X
feasting,O,X,X
throughout,O,X,X
the,O,X,X
palace,O,X,X
and,O,X,X
the,B,Children,good
children,I,Children,good
played,O,X,X
at,O,X,X
entertaining,O,X,X
guests,O,X,X
But,O,X,X
instead,O,X,X
of,O,X,X
letting,O,X,X
them,O,X,X
have,O,X,X
all,O,X,X
the,O,X,X
cakes,O,X,X
and,O,X,X
baked,O,X,X
apples,O,X,X
that,O,X,X
they,O,X,X
used,O,X,X
to,O,X,X
get,O,X,X
their,O,X,X
new,O,X,X
step,B,Queen,bad
mother,I,Queen,bad
gave,O,X,X
them,O,X,X
only,O,X,X
some,O,X,X
sand,O,X,X
in,O,X,X
a,O,X,X
teacup,O,X,X
and,O,X,X
told,O,X,X
them,O,X,X
to,O,X,X
make,O,X,X
believe,O,X,X
that,O,X,X
it,O,X,X
was,O,X,X
a,O,X,X
special,O,X,X
treat,O,X,X
The,O,X,X
following,O,X,X
week,O,X,X
the,B,Queen,bad
Queen,I,Queen,bad
sent,O,X,X
little,B,Elisa,good
Elisa,I,Elisa,good
to,O,X,X
live,O,X,X
in,O,X,X
the,O,X,X
country,O,X,X
with,O,X,X
some,O,X,X
peasants,B,Peasants,neutral
And,O,X,X
before,O,X,X
long,O,X,X
she,O,X,X
had,O,X,X
made,O,X,X
the,B,Father,neutral
King,I,Father,neutral
believe,O,X,X
so,O,X,X
many,O,X,X
falsehoods,O,X,X
about,O,X,X
the,B,Princes,good
poor,I,Princes,good
Princes,I,Princes,good
that,O,X,X
he,O,X,X
took,O,X,X
no,O,X,X
further,O,X,X
interest,O,X,X
in,O,X,X
them,O,X,X
Fly,O,X,X
out,O,X,X
into,O,X,X
the,O,X,X
world,O,X,X
and,O,X,X
make,O,X,X
your,O,X,X
own,O,X,X
living,O,X,X
the,B,Queen,bad
wicked,I,Queen,bad
Queen,I,Queen,bad
told,O,X,X
them,O,X,X
Fly,O,X,X
away,O,X,X
like,O,X,X
big,O,X,X
birds,O,X,X
without,O,X,X
a,O,X,X
voice,O,X,X
But,O,X,X
she,O,X,X
did,O,X,X
not,O,X,X
harm,O,X,X
the,B,Princes,good
Princes,I,Princes,good
as,O,X,X
much,O,X,X
as,O,X,X
she,O,X,X
meant,O,X,X
to,O,X,X
for,O,X,X
they,O,X,X
turned,O,X,X
into,O,X,X
eleven,B,Princes,good
magnificent,I,Princes,good
white,I,Princes,good
swans,I,Princes,good
With,O,X,X
a,O,X,X
weird,O,X,X
cry,O,X,X
they,O,X,X
flew,O,X,X
out,O,X,X
of,O,X,X
the,O,X,X
palace,O,X,X
window,O,X,X
across,O,X,X
the,O,X,X
park,O,X,X
into,O,X,X
the,O,X,X
woods,O,X,X
It,O,X,X
was,O,X,X
so,O,X,X
early,O,X,X
in,O,X,X
the,O,X,X
morning,O,X,X
that,O,X,X
their,O,X,X
sister,B,Elisa,good
Elisa,I,Elisa,good
was,O,X,X
still,O,X,X
asleep,O,X,X
when,O,X,X
they,O,X,X
flew,O,X,X
over,O,X,X
the,O,X,X
peasant,O,X,X
hut,O,X,X
where,O,X,X
she,O,X,X
was,O,X,X
staying,O,X,X
They,O,X,X
hovered,O,X,X
over,O,X,X
the,O,X,X
roofs,O,X,X
craning,O,X,X
and,O,X,X
twisting,O,X,X
their,O,X,X
long,O,X,X
necks,O,X,X
and,O,X,X
flapping,O,X,X
their,O,X,X
wings,O,X,X
but,O,X,X
nobody,O,X,X
saw,O,X,X
them,O,X,X
or,O,X,X
heard,O,X,X
them,O,X,X
They,O,X,X
were,O,X,X
forced,O,X,X
to,O,X,X
fly,O,X,X
on,O,X,X
high,O,X,X
up,O,X,X
near,O,X,X
the,O,X,X
clouds,O,X,X
and,O,X,X
far,O,X,X
away,O,X,X
into,O,X,X
the,O,X,X
wide,O,X,X
world,O,X,X
They,O,X,X
came,O,X,X
down,O,X,X
in,O,X,X
a,O,X,X
vast,O,X,X
dark,O,X,X
forest,O,X,X
that,O,X,X
stretched,O,X,X
down,O,X,X
to,O,X,X
the,O,X,X
shores,O,X,X
of,O,X,X
the,O,X,X
sea,O,X,X
Poor,B,Elisa,good
little,I,Elisa,good
Elisa,I,Elisa,good
stayed,O,X,X
in,O,X,X
the,O,X,X
peasant,O,X,X
hut,O,X,X
and,O,X,X
played,O,X,X
with,O,X,X
a,O,X,X
green,O,X,X
leaf,O,X,X
for,O,X,X
she,O,X,X
had,O,X,X
no,O,X,X
other,O,X,X
toy,O,X,X
She,O,X,X
made,O,X,X
a,O,X,X
little,O,X,X
hole,O,X,X
in,O,X,X
the,O,X,X
leaf,O,X,X
and,O,X,X
looked,O,X,X
through,O,X,X
it,O,X,X
at,O,X,X
the,O,X,X
sun,O,X,X
Through,O,X,X
it,O,X,X
she,O,X,X
seemed,O,X,X
to,O,X,X
see,O,X,X
her,O,X,X
brothers,B,Princes,good
bright,O,X,X
eyes,O,X,X
and,O,X,X
whenever,O,X,X
the,O,X,X
warm,O,X,X
sunlight,O,X,X
touched,O,X,X
her,O,X,X
cheek,O,X,X
it,O,X,X
reminded,O,X,X
her,O,X,X
of,O,X,X
all,O,X,X
their,O,X,X
kisses,O,X,X
One,O,X,X
day,O,X,X
passed,O,X,X
like,O,X,X
all,O,X,X
the,O,X,X
others,O,X,X
When,O,X,X
the,O,X,X
wind,O,X,X
stirred,O,X,X
the,O,X,X
hedge,O,X,X
roses,O,X,X
outside,O,X,X
the,O,X,X
hut,O,X,X
it,O,X,X
whispered,O,X,X
to,O,X,X
them,O,X,X
could,O,X,X
be,O,X,X
prettier,O,X,X
than,O,X,X
you,O,X,X
But,O,X,X
the,O,X,X
roses,O,X,X
shook,O,X,X
their,O,X,X
heads,O,X,X
and,O,X,X
answered,O,X,X
Elisa,B,Elisa,good
And,O,X,X
on,O,X,X
Sunday,O,X,X
when,O,X,X
the,O,X,X
old,O,X,X
woman,O,X,X
sat,O,X,X
in,O,X,X
the,O,X,X
doorway,O,X,X
reading,O,X,X
the,O,X,X
psalms,O,X,X
the,O,X,X
wind,O,X,X
fluttered,O,X,X
through,O,X,X
the,O,X,X
pages,O,X,X
and,O,X,X
said,O,X,X
to,O,X,X
the,O,X,X
book,O,X,X
Who,O,X,X
could,O,X,X
be,O,X,X
more,O,X,X
saintly,O,X,X
than,O,X,X
you,O,X,X
Elisa,B,Elisa,good
the,O,X,X
book,O,X,X
testified,O,X,X
What,O,X,X
it,O,X,X
and,O,X,X
the,O,X,X
roses,O,X,X
said,O,X,X
was,O,X,X
perfectly,O,X,X
true,O,X,X
Elisa,B,Elisa,good
was,O,X,X
to,O,X,X
go,O,X,X
back,O,X,X
home,O,X,X
when,O,X,X
she,O,X,X
became,O,X,X
fifteen,O,X,X
but,O,X,X
as,O,X,X
soon,O,X,X
as,O,X,X
the,B,Queen,bad
Queen,I,Queen,bad
saw,O,X,X
what,O,X,X
a,O,X,X
beautiful,O,X,X
Princess,B,Elisa,good
she,O,X,X
was,O,X,X
the,B,Queen,bad
Queen,I,Queen,bad
felt,O,X,X
spiteful,O,X,X
and,O,X,X
full,O,X,X
of,O,X,X
hatred,O,X,X
toward,O,X,X
her,O,X,X
She,O,X,X
would,O,X,X
not,O,X,X
have,O,X,X
hesitated,O,X,X
to,O,X,X
turn,O,X,X
her,O,X,X
into,O,X,X
a,O,X,X
wild,O,X,X
swan,O,X,X
like,O,X,X
her,O,X,X
brothers,B,Princes,good
but,O,X,X
she,O,X,X
did,O,X,X
not,O,X,X
dare,O,X,X
to,O,X,X
do,O,X,X
it,O,X,X
just,O,X,X
yet,O,X,X
because,O,X,X
the,B,Father,neutral
King,I,Father,neutral
wanted,O,X,X
to,O,X,X
see,O,X,X
his,O,X,X
daughter,B,Elisa,good
In,O,X,X
the,O,X,X
early,O,X,X
morning,O,X,X
the,B,Queen,bad
Queen,I,Queen,bad
went,O,X,X
to,O,X,X
the,O,X,X
bathing,O,X,X
place,O,X,X
which,O,X,X
was,O,X,X
made,O,X,X
of,O,X,X
white,O,X,X
marble,O,X,X
furnished,O,X,X
with,O,X,X
soft,O,X,X
cushions,O,X,X
and,O,X,X
carpeted,O,X,X
with,O,X,X
the,O,X,X
most,O,X,X
splendid,O,X,X
rugs,O,X,X
She,O,X,X
took,O,X,X
three,B,Toads,neutral
toads,I,Toads,neutral
kissed,O,X,X
them,O,X,X
and,O,X,X
said,O,X,X
to,O,X,X
the,O,X,X
first,O,X,X
Squat,O,X,X
on,O,X,X
Elisas,B,Elisa,good
head,O,X,X
when,O,X,X
she,O,X,X
bathes,O,X,X
so,O,X,X
that,O,X,X
she,O,X,X
will,O,X,X
become,O,X,X
as,O,X,X
torpid,O,X,X
as,O,X,X
you,O,X,X
are,O,X,X
To,O,X,X
the,O,X,X
second,O,X,X
she,O,X,X
said,O,X,X
Squat,O,X,X
on,O,X,X
her,O,X,X
forehead,O,X,X
so,O,X,X
that,O,X,X
she,O,X,X
will,O,X,X
become,O,X,X
as,O,X,X
ugly,O,X,X
as,O,X,X
you,O,X,X
are,O,X,X
and,O,X,X
her,O,X,X
father,B,Father,neutral
wont,O,X,X
recognize,O,X,X
her,O,X,X
And,O,X,X
to,O,X,X
the,O,X,X
third,O,X,X
she,O,X,X
whispered,O,X,X
Lie,O,X,X
against,O,X,X
her,O,X,X
heart,O,X,X
so,O,X,X
that,O,X,X
she,O,X,X
will,O,X,X
be,O,X,X
cursed,O,X,X
and,O,X,X
tormented,O,X,X
by,O,X,X
evil,O,X,X
desires,O,X,X
Thereupon,O,X,X
the,B,Queen,bad
Queen,I,Queen,bad
dropped,O,X,X
the,B,Toads,neutral
three,I,Toads,neutral
toads,I,Toads,neutral
into,O,X,X
the,O,X,X
clear,O,X,X
water,O,X,X
which,O,X,X
at,O,X,X
once,O,X,X
turned,O,X,X
a,O,X,X
greenish,O,X,X
color,O,X,X
She,O,X,X
called,O,X,X
Elisa,B,Elisa,good
made,O,X,X
her,O,X,X
undress,O,X,X
and,O,X,X
told,O,X,X
her,O,X,X
to,O,X,X
enter,O,X,X
the,O,X,X
bath,O,X,X
When,O,X,X
Elisa,B,Elisa,good
went,O,X,X
down,O,X,X
into,O,X,X
the,O,X,X
water,O,X,X
one,B,Toads,neutral
toad,I,Toads,neutral
fastened,O,X,X
himself,O,X,X
to,O,X,X
her,O,X,X
hair,O,X,X
another,B,Toads,neutral
to,O,X,X
her,O,X,X
forehead,O,X,X
and,O,X,X
the,B,Toads,neutral
third,I,Toads,neutral
against,O,X,X
her,O,X,X
heart,O,X,X
But,O,X,X
she,O,X,X
did,O,X,X
not,O,X,X
seem,O,X,X
to,O,X,X
be,O,X,X
aware,O,X,X
of,O,X,X
them,O,X,X
and,O,X,X
when,O,X,X
she,O,X,X
stood,O,X,X
up,O,X,X
three,O,X,X
red,O,X,X
poppies,O,X,X
floated,O,X,X
on,O,X,X
the,O,X,X
water,O,X,X
If,O,X,X
the,B,Toads,neutral
toads,I,Toads,neutral
had,O,X,X
not,O,X,X
been,O,X,X
poisonous,O,X,X
and,O,X,X
had,O,X,X
not,O,X,X
been,O,X,X
kissed,O,X,X
by,O,X,X
the,O,X,X
witch,O,X,X
they,O,X,X
would,O,X,X
have,O,X,X
been,O,X,X
turned,O,X,X
into,O,X,X
red,O,X,X
roses,O,X,X
But,O,X,X
at,O,X,X
least,O,X,X
they,O,X,X
had,O,X,X
been,O,X,X
turned,O,X,X
into,O,X,X
flowers,O,X,X
by,O,X,X
the,O,X,X
mere,O,X,X
touch,O,X,X
of,O,X,X
her,O,X,X
head,O,X,X
and,O,X,X
heart,O,X,X
She,O,X,X
was,O,X,X
too,O,X,X
innocent,O,X,X
and,O,X,X
good,O,X,X
for,O,X,X
witchcraft,O,X,X
to,O,X,X
have,O,X,X
power,O,X,X
over,O,X,X
her,O,X,X
When,O,X,X
the,B,Queen,bad
evil,I,Queen,bad
Queen,I,Queen,bad
realized,O,X,X
this,O,X,X
she,O,X,X
rubbed,O,X,X
Elisa,B,Elisa,good
with,O,X,X
walnut,O,X,X
stain,O,X,X
that,O,X,X
turned,O,X,X
her,O,X,X
dark,O,X,X
brown,O,X,X
smeared,O,X,X
her,O,X,X
beautiful,O,X,X
face,O,X,X
with,O,X,X
a,O,X,X
vile,O,X,X
ointment,O,X,X
and,O,X,X
tousled,O,X,X
her,O,X,X
lovely,O,X,X
hair,O,X,X
No,O,X,X
one,O,X,X
could,O,X,X
have,O,X,X
recognized,O,X,X
the,O,X,X
beautiful,O,X,X
Elisa,B,Elisa,good
and,O,X,X
when,O,X,X
her,O,X,X
father,B,Father,neutral
saw,O,X,X
her,O,X,X
he,O,X,X
was,O,X,X
shocked,O,X,X
He,O,X,X
said,O,X,X
that,O,X,X
this,O,X,X
could,O,X,X
not,O,X,X
be,O,X,X
his,O,X,X
daughter,B,Elisa,good
No,O,X,X
one,O,X,X
knew,O,X,X
her,O,X,X
except,O,X,X
the,O,X,X
watchdog,O,X,X
and,O,X,X
the,O,X,X
swallows,O,X,X
and,O,X,X
they,O,X,X
were,O,X,X
humble,O,X,X
creatures,O,X,X
who,O,X,X
had,O,X,X
nothing,O,X,X
to,O,X,X
