word,entity,name,alignment
There,O,X,X
was,O,X,X
once,O,X,X
a,B,Father,neutral
rich,I,Father,neutral
man,I,Father,neutral
whose,O,X,X
wife,B,Mother,good
lay,O,X,X
sick,O,X,X
and,O,X,X
when,O,X,X
she,O,X,X
felt,O,X,X
her,O,X,X
end,O,X,X
drawing,O,X,X
near,O,X,X
she,O,X,X
called,O,X,X
to,O,X,X
her,O,X,X
only,O,X,X
daughter,B,Cinderella,good
to,O,X,X
come,O,X,X
near,O,X,X
her,O,X,X
bed,O,X,X
and,O,X,X
said,O,X,X
Dear,O,X,X
child,B,Cinderella,good
be,O,X,X
pious,O,X,X
and,O,X,X
good,O,X,X
and,O,X,X
God,O,X,X
will,O,X,X
always,O,X,X
take,O,X,X
care,O,X,X
of,O,X,X
you,O,X,X
and,O,X,X
I,O,X,X
will,O,X,X
look,O,X,X
down,O,X,X
upon,O,X,X
you,O,X,X
from,O,X,X
heaven,O,X,X
and,O,X,X
will,O,X,X
be,O,X,X
with,O,X,X
you,O,X,X
And,O,X,X
then,O,X,X
she,O,X,X
closed,O,X,X
her,O,X,X
eyes,O,X,X
and,O,X,X
expired,O,X,X
The,O,X,X
maiden,B,Cinderella,good
went,O,X,X
every,O,X,X
day,O,X,X
to,O,X,X
her,O,X,X
mothers,B,Mother,good
grave,O,X,X
and,O,X,X
wept,O,X,X
and,O,X,X
was,O,X,X
always,O,X,X
pious,O,X,X
and,O,X,X
good,O,X,X
When,O,X,X
the,O,X,X
winter,O,X,X
came,O,X,X
the,O,X,X
snow,O,X,X
covered,O,X,X
the,O,X,X
grave,O,X,X
with,O,X,X
a,O,X,X
white,O,X,X
covering,O,X,X
and,O,X,X
when,O,X,X
the,O,X,X
sun,O,X,X
came,O,X,X
in,O,X,X
the,O,X,X
early,O,X,X
spring,O,X,X
and,O,X,X
melted,O,X,X
it,O,X,X
away,O,X,X
the,B,Father,neutral
man,I,Father,neutral
took,O,X,X
to,O,X,X
himself,O,X,X
another,B,Step-Mother,bad
wife,I,Step-Mother,bad
The,I,Step-Mother,bad
new,I,Step-Mother,bad
wife,I,Step-Mother,bad
brought,O,X,X
two,B,Step-Sisters,bad
daughters,I,Step-Sisters,bad
home,O,X,X
with,O,X,X
her,O,X,X
and,O,X,X
they,O,X,X
were,O,X,X
beautiful,O,X,X
and,O,X,X
fair,O,X,X
in,O,X,X
appearance,O,X,X
but,O,X,X
at,O,X,X
heart,O,X,X
were,O,X,X
black,O,X,X
and,O,X,X
ugly,O,X,X
And,O,X,X
then,O,X,X
began,O,X,X
very,O,X,X
evil,O,X,X
times,O,X,X
for,O,X,X
the,B,Cinderella,good
poor,I,Cinderella,good
stepdaughter,I,Cinderella,good
Is,O,X,X
the,B,Cinderella,good
stupid,I,Cinderella,good
creature,I,Cinderella,good
to,O,X,X
sit,O,X,X
in,O,X,X
the,O,X,X
same,O,X,X
room,O,X,X
with,O,X,X
us,O,X,X
said,O,X,X
they,O,X,X
those,O,X,X
who,O,X,X
eat,O,X,X
food,O,X,X
must,O,X,X
earn,O,X,X
it,O,X,X
Out,O,X,X
upon,O,X,X
her,O,X,X
for,O,X,X
a,O,X,X
kitchenmaid,O,X,X
They,O,X,X
took,O,X,X
away,O,X,X
her,O,X,X
pretty,O,X,X
dresses,O,X,X
and,O,X,X
put,O,X,X
on,O,X,X
her,O,X,X
an,O,X,X
old,O,X,X
grey,O,X,X
kirtle,O,X,X
and,O,X,X
gave,O,X,X
her,O,X,X
wooden,O,X,X
