word,entity,name,alignment
Near,O,X,X
a,O,X,X
great,O,X,X
forest,O,X,X
there,O,X,X
lived,O,X,X
a,B,Woodcutter,good
poor,I,Woodcutter,good
woodcutter,I,Woodcutter,good
and,O,X,X
his,O,X,X
wife,B,Wife,bad
and,O,X,X
his,O,X,X
two,B,Children,good
children,I,Children,good
the,B,Hansel,good
boys,I,Hansel,good
name,O,X,X
was,O,X,X
Hansel,B,Hansel,good
and,O,X,X
the,B,Grethel,good
girls,I,Grethel,good
Grethel,I,Grethel,good
They,O,X,X
had,O,X,X
very,O,X,X
little,O,X,X
to,O,X,X
bite,O,X,X
or,O,X,X
to,O,X,X
sup,O,X,X
and,O,X,X
once,O,X,X
when,O,X,X
there,O,X,X
was,O,X,X
great,O,X,X
dearth,O,X,X
in,O,X,X
the,O,X,X
land,O,X,X
the,B,Woodcutter,good
man,I,Woodcutter,good
could,O,X,X
not,O,X,X
even,O,X,X
gain,O,X,X
the,O,X,X
daily,O,X,X
bread,O,X,X
As,O,X,X
he,O,X,X
lay,O,X,X
in,O,X,X
bed,O,X,X
one,O,X,X
night,O,X,X
thinking,O,X,X
of,O,X,X
this,O,X,X
and,O,X,X
turning,O,X,X
and,O,X,X
tossing,O,X,X
he,O,X,X
sighed,O,X,X
heavily,O,X,X
and,O,X,X
said,O,X,X
to,O,X,X
his,O,X,X
wife,B,Wife,bad
What,O,X,X
will,O,X,X
become,O,X,X
of,O,X,X
us,O,X,X
we,O,X,X
cannot,O,X,X
even,O,X,X
feed,O,X,X
our,O,X,X
children,B,Children,good
there,O,X,X
is,O,X,X
nothing,O,X,X
left,O,X,X
for,O,X,X
ourselves,O,X,X
I,O,X,X
will,O,X,X
tell,O,X,X
you,O,X,X
what,O,X,X
husband,B,Woodcutter,good
answered,O,X,X
the,O,X,X
wife,B,Wife,bad
we,O,X,X
will,O,X,X
take,O,X,X
the,B,Children,good
children,I,Children,good
early,O,X,X
in,O,X,X
the,O,X,X
morning,O,X,X
into,O,X,X
the,O,X,X
forest,O,X,X
where,O,X,X
it,O,X,X
is,O,X,X
thickest,O,X,X
we,O,X,X
will,O,X,X
make,O,X,X
them,O,X,X
a,O,X,X
fire,O,X,X
and,O,X,X
we,O,X,X
will,O,X,X
give,O,X,X
each,O,X,X
of,O,X,X
them,O,X,X
a,O,X,X
piece,O,X,X
of,O,X,X
bread,O,X,X
then,O,X,X
we,O,X,X
will,O,X,X
go,O,X,X
to,O,X,X
our,O,X,X
work,O,X,X
and,O,X,X
leave,O,X,X
them,O,X,X
alone,O,X,X
they,O,X,X
will,O,X,X
never,O,X,X
find,O,X,X
the,O,X,X
way,O,X,X
home,O,X,X
again,O,X,X
and,O,X,X
we,O,X,X
shall,O,X,X
be,O,X,X
quit,O,X,X
of,O,X,X
them,O,X,X
No,O,X,X
wife,B,Wife,bad
said,O,X,X
the,O,X,X
man,B,Woodcutter,good
I,O,X,X
cannot,O,X,X
do,O,X,X
that,O,X,X
I,O,X,X
cannot,O,X,X
find,O,X,X
in,O,X,X
my,O,X,X
heart,O,X,X
to,O,X,X
take,O,X,X
my,O,X,X
children,B,Children,good
into,O,X,X
the,O,X,X
forest,O,X,X
and,O,X,X
