word,entity,name,alignment
Around,O,X,X
the,O,X,X
garden,O,X,X
ran,O,X,X
a,O,X,X
hedge,O,X,X
of,O,X,X
hazelnut,O,X,X
bushes,O,X,X
and,O,X,X
beyond,O,X,X
it,O,X,X
lay,O,X,X
fields,O,X,X
and,O,X,X
meadows,O,X,X
with,O,X,X
cows,O,X,X
and,O,X,X
sheep,O,X,X
but,O,X,X
in,O,X,X
the,O,X,X
middle,O,X,X
of,O,X,X
the,O,X,X
garden,O,X,X
stood,O,X,X
a,O,X,X
blooming,O,X,X
Rosebush,O,X,X
and,O,X,X
under,O,X,X
it,O,X,X
sat,O,X,X
a,B,Snail,bad
Snail,I,Snail,bad
who,O,X,X
had,O,X,X
a,O,X,X
lot,O,X,X
inside,O,X,X
his,O,X,X
shell,O,X,X
namely,O,X,X
himself,O,X,X
Wait,O,X,X
till,O,X,X
my,O,X,X
time,O,X,X
comes,O,X,X
it,O,X,X
said,O,X,X
Ill,O,X,X
do,O,X,X
a,O,X,X
great,O,X,X
deal,O,X,X
more,O,X,X
than,O,X,X
grow,O,X,X
roses,O,X,X
more,O,X,X
than,O,X,X
bear,O,X,X
nuts,O,X,X
or,O,X,X
give,O,X,X
milk,O,X,X
like,O,X,X
cows,O,X,X
and,O,X,X
the,O,X,X
sheep,O,X,X
I,O,X,X
expect,O,X,X
a,O,X,X
great,O,X,X
deal,O,X,X
from,O,X,X
you,O,X,X
said,O,X,X
the,B,Rosebush,good
Rosebush,I,Rosebush,good
May,O,X,X
I,O,X,X
dare,O,X,X
ask,O,X,X
when,O,X,X
this,O,X,X
is,O,X,X
going,O,X,X
to,O,X,X
happen,O,X,X
Ill,O,X,X
take,O,X,X
my,O,X,X
time,O,X,X
said,O,X,X
the,O,X,X
Snail,O,X,X
Youre,O,X,X
always,O,X,X
in,O,X,X
such,O,X,X
a,O,X,X
hurry,O,X,X
That,O,X,X
does,O,X,X
not,O,X,X
arouse,O,X,X
expectations,O,X,X
Next,O,X,X
year,O,X,X
the,B,Snail,bad
Snail,I,Snail,bad
lay,O,X,X
in,O,X,X
almost,O,X,X
the,O,X,X
same,O,X,X
spot,O,X,X
in,O,X,X
the,O,X,X
sunshine,O,X,X
beneath,O,X,X
the,B,Rosebush,good
Rose,I,Rosebush,good
Tree,I,Rosebush,good
which,O,X,X
was,O,X,X
budding,O,X,X
and,O,X,X
bearing,O,X,X
roses,O,X,X
as,O,X,X
fresh,O,X,X
and,O,X,X
as,O,X,X
new,O,X,X
as,O,X,X
ever,O,X,X
And,O,X,X
the,B,Snail,bad
Snail,I,Snail,bad
crept,O,X,X
halfway,O,X,X
out,O,X,X
of,O,X,X
its,O,X,X
shell,O,X,X
stretched,O,X,X
out,O,X,X
its,O,X,X
horns,O,X,X
and,O,X,X
drew,O,X,X
them,O,X,X
back,O,X,X
in,O,X,X
again,O,X,X
Everything,O,X,X
looks,O,X,X
just,O,X,X
as,O,X,X
it,O,X,X
did,O,X,X
last,O,X,X
year,O,X,X
No,O,X,X
progress,O,X,X
at,O,X,X
all,O,X,X
the,B,Rosebush,good
Rose,I,Rosebush,good
Tree,I,Rosebush,good
sticks,O,X,X
to,O,X,X
its,O,X,X
roses,O,X,X
and,O,X,X
thats,O,X,X
as,O,X,X
far,O,X,X
as,O,X,X
it,O,X,X
gets,O,X,X
The,O,X,X
summer,O,X,X
passed,O,X,X
the,O,X,X
autumn,O,X,X
came,O,X,X
The,B,Rosebush,good
Rose,I,Rosebush,good
Tree,I,Rosebush,good
still,O,X,X
bore,O,X,X
buds,O,X,X
and,O,X,X
roses,O,X,X
till,O,X,X
the,O,X,X
snow,O,X,X
fell,O,X,X
The,O,X,X
weather,O,X,X
became,O,X,X
raw,O,X,X
and,O,X,X
wet,O,X,X
and,O,X,X
the,B,Rosebush,good
Rose,I,Rosebush,good
Tree,I,Rosebush,good
bent,O,X,X
down,O,X,X
toward,O,X,X
the,O,X,X
ground,O,X,X
The,B,Snail,bad
Snail,I,Snail,bad
crept,O,X,X
into,O,X,X
the,O,X,X
ground,O,X,X
Then,O,X,X
a,O,X,X
new,O,X,X
year,O,X,X
began,O,X,X
and,O,X,X
the,O,X,X
roses,O,X,X
came,O,X,X
out,O,X,X
again,O,X,X
and,O,X,X
the,B,Snail,bad
Snail,I,Snail,bad
did,O,X,X
too,O,X,X
Youre,O,X,X
an,O,X,X
old,B,Rosebush,good
Rosebush,I,Rosebush,good
now,O,X,X
the,B,Snail,bad
Snail,I,Snail,bad
said,O,X,X
You,O,X,X
must,O,X,X
hurry,O,X,X
up,O,X,X
and,O,X,X
die,O,X,X
because,O,X,X
youve,O,X,X
given,O,X,X
the,O,X,X
world,O,X,X
all,O,X,X
thats,O,X,X
in,O,X,X
you,O,X,X
Whether,O,X,X
it,O,X,X
has,O,X,X
meant,O,X,X
anything,O,X,X
is,O,X,X
a,O,X,X
question,O,X,X
that,O,X,X
I,O,X,X
havent,O,X,X
had,O,X,X
time,O,X,X
to,O,X,X
think,O,X,X
about,O,X,X
but,O,X,X
this,O,X,X
much,O,X,X
is,O,X,X
clear,O,X,X
enough,O,X,X
youve,O,X,X
done,O,X,X
nothing,O,X,X
at,O,X,X
all,O,X,X
for,O,X,X
your,O,X,X
inner,O,X,X
development,O,X,X
or,O,X,X
you,O,X,X
would,O,X,X
certainly,O,X,X
have,O,X,X
produced,O,X,X
something,O,X,X
else,O,X,X
How,O,X,X
can,O,X,X
you,O,X,X
answer,O,X,X
that,O,X,X
Youll,O,X,X
soon,O,X,X
be,O,X,X
nothing,O,X,X
but,O,X,X
a,O,X,X
stick,O,X,X
Can,O,X,X
you,O,X,X
understand,O,X,X
what,O,X,X
Im,O,X,X
saying,O,X,X
You,O,X,X
frighten,O,X,X
me,O,X,X
said,O,X,X
the,B,Rosebush,good
Rosebush,I,Rosebush,good
I,O,X,X
never,O,X,X
thought,O,X,X
about,O,X,X
that,O,X,X
at,O,X,X
all,O,X,X
No,O,X,X
you,O,X,X
have,O,X,X
never,O,X,X
taken,O,X,X
the,O,X,X
trouble,O,X,X
to,O,X,X
think,O,X,X
of,O,X,X
anything,O,X,X
Have,O,X,X
you,O,X,X
ever,O,X,X
considered,O,X,X
yourself,O,X,X
why,O,X,X
you,O,X,X
bloomed,O,X,X
and,O,X,X
how,O,X,X
it,O,X,X
happens,O,X,X
why,O,X,X
just,O,X,X
in,O,X,X
that,O,X,X
way,O,X,X
and,O,X,X
in,O,X,X
no,O,X,X
other,O,X,X
No,O,X,X
said,O,X,X
the,B,Rosebush,good
Rosebush,I,Rosebush,good
I,O,X,X
was,O,X,X
just,O,X,X
happy,O,X,X
to,O,X,X
blossom,O,X,X
because,O,X,X
I,O,X,X
couldnt,O,X,X
do,O,X,X
anything,O,X,X
else,O,X,X
The,O,X,X
sun,O,X,X
was,O,X,X
warm,O,X,X
and,O,X,X
the,O,X,X
air,O,X,X
so,O,X,X
refreshing,O,X,X
I,O,X,X
drank,O,X,X
of,O,X,X
the,O,X,X
clear,O,X,X
dew,O,X,X
and,O,X,X
the,O,X,X
strong,O,X,X
rain,O,X,X
I,O,X,X
breathed,O,X,X
I,O,X,X
lived,O,X,X
A,O,X,X
power,O,X,X
rose,O,X,X
in,O,X,X
me,O,X,X
from,O,X,X
out,O,X,X
of,O,X,X
the,O,X,X
earth,O,X,X
a,O,X,X
strength,O,X,X
came,O,X,X
down,O,X,X
from,O,X,X
up,O,X,X
above,O,X,X
I,O,X,X
felt,O,X,X
an,O,X,X
increasing,O,X,X
happiness,O,X,X
always,O,X,X
new,O,X,X
always,O,X,X
great,O,X,X
so,O,X,X
I,O,X,X
had,O,X,X
to,O,X,X
blossom,O,X,X
over,O,X,X
and,O,X,X
over,O,X,X
again,O,X,X
That,O,X,X
was,O,X,X
my,O,X,X
life,O,X,X
I,O,X,X
couldnt,O,X,X
do,O,X,X
anything,O,X,X
else,O,X,X
You,O,X,X
have,O,X,X
led,O,X,X
a,O,X,X
very,O,X,X
easy,O,X,X
life,O,X,X
said,O,X,X
the,B,Snail,bad
Snail,I,Snail,bad
Certainly,O,X,X
Everything,O,X,X
was,O,X,X
given,O,X,X
to,O,X,X
me,O,X,X
said,O,X,X
the,B,Rosebush,good
Rosebush,I,Rosebush,good
But,O,X,X
still,O,X,X
more,O,X,X
was,O,X,X
granted,O,X,X
to,O,X,X
you,O,X,X
Youre,O,X,X
one,O,X,X
of,O,X,X
those,O,X,X
with,O,X,X
a,O,X,X
deep,O,X,X
thoughtful,O,X,X
nature,O,X,X
one,O,X,X
of,O,X,X
those,O,X,X
highly,O,X,X
gifted,O,X,X
minds,O,X,X
that,O,X,X
will,O,X,X
astonish,O,X,X
the,O,X,X
world,O,X,X
Ive,O,X,X
no,O,X,X
intention,O,X,X
of,O,X,X
doing,O,X,X
anything,O,X,X
of,O,X,X
the,O,X,X
sort,O,X,X
said,O,X,X
the,B,Snail,bad
Snail,I,Snail,bad
The,O,X,X
world,O,X,X
means,O,X,X
nothing,O,X,X
to,O,X,X
me,O,X,X
What,O,X,X
do,O,X,X
I,O,X,X
have,O,X,X
to,O,X,X
do,O,X,X
with,O,X,X
the,O,X,X
world,O,X,X
I,O,X,X
have,O,X,X
enough,O,X,X
to,O,X,X
do,O,X,X
with,O,X,X
myself,O,X,X
and,O,X,X
within,O,X,X
myself,O,X,X
But,O,X,X
shouldnt,O,X,X
all,O,X,X
of,O,X,X
us,O,X,X
on,O,X,X
earth,O,X,X
give,O,X,X
the,O,X,X
best,O,X,X
we,O,X,X
have,O,X,X
to,O,X,X
others,O,X,X
and,O,X,X
offer,O,X,X
whatever,O,X,X
is,O,X,X
in,O,X,X
our,O,X,X
power,O,X,X
Yes,O,X,X
Ive,O,X,X
only,O,X,X
been,O,X,X
able,O,X,X
to,O,X,X
give,O,X,X
roses,O,X,X
But,O,X,X
you,O,X,X
You,O,X,X
who,O,X,X
are,O,X,X
so,O,X,X
richly,O,X,X
