word,entity,name,alignment
Once,O,X,X
upon,O,X,X
a,O,X,X
time,O,X,X
there,O,X,X
was,O,X,X
a,B,Prince,bad
proud,I,Prince,bad
and,I,Prince,bad
wicked,I,Prince,bad
prince,I,Prince,bad
who,O,X,X
thought,O,X,X
only,O,X,X
about,O,X,X
how,O,X,X
he,O,X,X
might,O,X,X
conquer,O,X,X
all,O,X,X
the,O,X,X
nations,O,X,X
of,O,X,X
the,O,X,X
earth,O,X,X
and,O,X,X
make,O,X,X
his,O,X,X
name,O,X,X
a,O,X,X
terror,O,X,X
to,O,X,X
all,O,X,X
mankind,O,X,X
He,O,X,X
plunged,O,X,X
forth,O,X,X
with,O,X,X
fire,O,X,X
and,O,X,X
sword,O,X,X
his,O,X,X
soldiers,B,Soldiers,bad
trampled,O,X,X
down,O,X,X
the,O,X,X
grain,O,X,X
in,O,X,X
the,O,X,X
fields,O,X,X
and,O,X,X
put,O,X,X
the,O,X,X
torch,O,X,X
to,O,X,X
the,O,X,X
peasants,O,X,X
cottage,O,X,X
so,O,X,X
that,O,X,X
the,O,X,X
red,O,X,X
flames,O,X,X
licked,O,X,X
the,O,X,X
very,O,X,X
leaves,O,X,X
from,O,X,X
the,O,X,X
trees,O,X,X
and,O,X,X
the,O,X,X
fruit,O,X,X
hung,O,X,X
roasted,O,X,X
from,O,X,X
black,O,X,X
and,O,X,X
charred,O,X,X
limbs,O,X,X
Many,O,X,X
a,B,Mother,neutral
poor,I,Mother,neutral
mother,I,Mother,neutral
caught,O,X,X
up,O,X,X
her,O,X,X
naked,O,X,X
baby,B,Child,neutral
and,O,X,X
tried,O,X,X
to,O,X,X
hide,O,X,X
behind,O,X,X
the,O,X,X
smoking,O,X,X
walls,O,X,X
but,O,X,X
the,B,Soldiers,bad
soldiers,I,Soldiers,bad
followed,O,X,X
her,O,X,X
and,O,X,X
if,O,X,X
they,O,X,X
found,O,X,X
her,O,X,X
and,O,X,X
the,B,Child,neutral
child,I,Child,neutral
then,O,X,X
began,O,X,X
their,O,X,X
devilish,O,X,X
pleasure,O,X,X
Evil,O,X,X
spirits,O,X,X
could,O,X,X
do,O,X,X
no,O,X,X
worse,O,X,X
but,O,X,X
the,B,Prince,bad
Prince,I,Prince,bad
rejoiced,O,X,X
in,O,X,X
it,O,X,X
all,O,X,X
Day,O,X,X
by,O,X,X
day,O,X,X
his,O,X,X
power,O,X,X
increased,O,X,X
his,O,X,X
name,O,X,X
was,O,X,X
feared,O,X,X
by,O,X,X
all,O,X,X
and,O,X,X
fortune,O,X,X
followed,O,X,X
him,O,X,X
in,O,X,X
all,O,X,X
his,O,X,X
deeds,O,X,X
From,O,X,X
the,O,X,X
conquered,O,X,X
cities,O,X,X
he,O,X,X
carried,O,X,X
away,O,X,X
gold,O,X,X
and,O,X,X
precious,O,X,X
treasures,O,X,X
until,O,X,X
he,O,X,X
had,O,X,X
amassed,O,X,X
in,O,X,X
his,O,X,X
capital,O,X,X
riches,O,X,X
such,O,X,X
as,O,X,X
were,O,X,X
unequaled,O,X,X
in,O,X,X
any,O,X,X
other,O,X,X
place,O,X,X
Then,O,X,X
he,O,X,X
built,O,X,X
superb,O,X,X
palaces,O,X,X
and,O,X,X
temples,O,X,X
and,O,X,X
arches,O,X,X
and,O,X,X
whoever,O,X,X
saw,O,X,X
his,O,X,X
magnificence,O,X,X
said,O,X,X
What,O,X,X
a,B,Prince,bad
great,I,Prince,bad
Prince,I,Prince,bad
Never,O,X,X
did,O,X,X
they,O,X,X
think,O,X,X
of,O,X,X
the,O,X,X
misery,O,X,X
he,O,X,X
