word,entity,name,alignment
The,B,Wolf,bad
wolf,I,Wolf,bad
had,O,X,X
the,B,Fox,bad
fox,I,Fox,bad
with,O,X,X
him,O,X,X
and,O,X,X
whatsoever,O,X,X
the,B,Wolf,bad
wolf,I,Wolf,bad
wished,O,X,X
that,O,X,X
the,B,Fox,bad
fox,I,Fox,bad
was,O,X,X
compelled,O,X,X
to,O,X,X
do,O,X,X
for,O,X,X
he,O,X,X
was,O,X,X
the,O,X,X
weaker,O,X,X
and,O,X,X
he,O,X,X
would,O,X,X
gladly,O,X,X
have,O,X,X
been,O,X,X
rid,O,X,X
of,O,X,X
his,O,X,X
master,B,Wolf,bad
It,O,X,X
chanced,O,X,X
that,O,X,X
once,O,X,X
as,O,X,X
they,O,X,X
were,O,X,X
going,O,X,X
through,O,X,X
the,O,X,X
forest,O,X,X
the,B,Wolf,bad
wolf,I,Wolf,bad
said,O,X,X
Redfox,B,Fox,bad
get,O,X,X
me,O,X,X
something,O,X,X
to,O,X,X
eat,O,X,X
or,O,X,X
else,O,X,X
I,O,X,X
will,O,X,X
eat,O,X,X
thee,O,X,X
thyself,O,X,X
Then,O,X,X
the,B,Fox,bad
fox,I,Fox,bad
answered,O,X,X
I,O,X,X
know,O,X,X
a,O,X,X
farmyard,O,X,X
where,O,X,X
there,O,X,X
are,O,X,X
two,O,X,X
young,O,X,X
lambs,O,X,X
if,O,X,X
thou,O,X,X
art,O,X,X
inclined,O,X,X
we,O,X,X
will,O,X,X
fetch,O,X,X
one,O,X,X
of,O,X,X
them,O,X,X
That,O,X,X
suited,O,X,X
the,B,Wolf,bad
wolf,I,Wolf,bad
and,O,X,X
they,O,X,X
went,O,X,X
thither,O,X,X
and,O,X,X
the,B,Fox,bad
fox,I,Fox,bad
stole,O,X,X
the,B,Lamb,neutral
little,I,Lamb,neutral
lamb,I,Lamb,neutral
took,O,X,X
it,O,X,X
to,O,X,X
the,B,Wolf,bad
wolf,I,Wolf,bad
and,O,X,X
went,O,X,X
away,O,X,X
The,B,Wolf,bad
wolf,I,Wolf,bad
devoured,O,X,X
it,O,X,X
but,O,X,X
was,O,X,X
not,O,X,X
satisfied,O,X,X
with,O,X,X
one,O,X,X
he,O,X,X
wanted,O,X,X
the,O,X,X
other,O,X,X
as,O,X,X
well,O,X,X
and,O,X,X
went,O,X,X
to,O,X,X
get,O,X,X
it,O,X,X
As,O,X,X
however,O,X,X
he,O,X,X
did,O,X,X
it,O,X,X
so,O,X,X
awkwardly,O,X,X
the,B,Lamb Mother,good
mother,I,Lamb Mother,good
of,O,X,X
the,B,Lamb,neutral
little,I,Lamb,neutral
lamb,I,Lamb,neutral
heard,O,X,X
him,O,X,X
and,O,X,X
began,O,X,X
to,O,X,X
cry,O,X,X
out,O,X,X
terribly,O,X,X
and,O,X,X
to,O,X,X
bleat,O,X,X
so,O,X,X
that,O,X,X
the,B,Farmer 1,neutral
farmer,I,Farmer 1,neutral
came,O,X,X
running,O,X,X
there,O,X,X
They,O,X,X
found,O,X,X
the,B,Wolf,bad
wolf,I,Wolf,bad
and,O,X,X
beat,O,X,X
him,O,X,X
so,O,X,X
mercilessly,O,X,X
that,O,X,X
he,O,X,X
went,O,X,X
to,O,X,X
the,B,Fox,bad
fox,I,Fox,bad
limping,O,X,X
and,O,X,X
howling,O,X,X
Thou,O,X,X
hast,O,X,X
misled,O,X,X
me,O,X,X
finely,O,X,X
said,O,X,X
he,O,X,X
I,O,X,X
wanted,O,X,X
to,O,X,X
fetch,O,X,X
the,O,X,X
other,O,X,X
lamb,O,X,X
and,O,X,X
the,O,X,X
country,O,X,X
folks,O,X,X
surprised,O,X,X
me,O,X,X
and,O,X,X
have,O,X,X
beaten,O,X,X
me,O,X,X
to,O,X,X
a,O,X,X
jelly,O,X,X
The,B,Fox,bad
fox,I,Fox,bad
replied,O,X,X
Why,O,X,X
art,O,X,X
thou,O,X,X
such,O,X,X
a,O,X,X
glutton,O,X,X
Next,O,X,X
day,O,X,X
they,O,X,X
again,O,X,X
went,O,X,X
into,O,X,X
the,O,X,X
country,O,X,X
and,O,X,X
the,B,Wolf,bad
greedy,I,Wolf,bad
wolf,I,Wolf,bad
once,O,X,X
more,O,X,X
said,O,X,X
Redfox,B,Fox,bad
get,O,X,X
me,O,X,X
something,O,X,X
to,O,X,X
eat,O,X,X
or,O,X,X
I,O,X,X
will,O,X,X
eat,O,X,X
thee,O,X,X
thyself,O,X,X
Then,O,X,X
answered,O,X,X
the,B,Fox,bad
fox,I,Fox,bad
I,O,X,X
know,O,X,X
a,O,X,X
farmhouse,O,X,X
where,O,X,X
the,B,Wife,neutral
wife,I,Wife,neutral
is,O,X,X
baking,O,X,X
pancakes,O,X,X
tonight,O,X,X
we,O,X,X
will,O,X,X
get,O,X,X
some,O,X,X
of,O,X,X
them,O,X,X
for,O,X,X
ourselves,O,X,X
They,O,X,X
went,O,X,X
there,O,X,X
and,O,X,X
the,B,Fox,bad
fox,I,Fox,bad
slipped,O,X,X
round,O,X,X
the,O,X,X
house,O,X,X
and,O,X,X
peeped,O,X,X
and,O,X,X
sniffed,O,X,X
about,O,X,X
until,O,X,X
he,O,X,X
discovered,O,X,X
where,O,X,X
the,O,X,X
dish,O,X,X
was,O,X,X
and,O,X,X
then,O,X,X
drew,O,X,X
down,O,X,X
six,O,X,X
pancakes,O,X,X
and,O,X,X
carried,O,X,X
them,O,X,X
to,O,X,X
the,B,Wolf,bad
wolf,I,Wolf,bad
There,O,X,X
is,O,X,X
something,O,X,X
for,O,X,X
thee,O,X,X
to,O,X,X
eat,O,X,X
said,O,X,X
he,O,X,X
to,O,X,X
him,O,X,X
and,O,X,X
then,O,X,X
went,O,X,X
his,O,X,X
way,O,X,X
The,B,Wolf,bad
