word,entity,name,alignment
In,O,X,X
ancient,O,X,X
times,O,X,X
a,B,Giant,neutral
giant,I,Giant,neutral
was,O,X,X
once,O,X,X
travelling,O,X,X
on,O,X,X
a,O,X,X
great,O,X,X
highway,O,X,X
when,O,X,X
suddenly,O,X,X
an,B,Death,neutral
unknown,I,Death,neutral
man,I,Death,neutral
sprang,O,X,X
up,O,X,X
before,O,X,X
him,O,X,X
and,O,X,X
said,O,X,X
Halt,O,X,X
not,O,X,X
one,O,X,X
step,O,X,X
farther,O,X,X
What,O,X,X
cried,O,X,X
the,B,Giant,bad
giant,I,Giant,bad
a,O,X,X
creature,O,X,X
whom,O,X,X
I,O,X,X
can,O,X,X
crush,O,X,X
between,O,X,X
my,O,X,X
fingers,O,X,X
wants,O,X,X
to,O,X,X
block,O,X,X
my,O,X,X
way,O,X,X
Who,O,X,X
art,O,X,X
thou,O,X,X
that,O,X,X
thou,O,X,X
darest,O,X,X
to,O,X,X
speak,O,X,X
so,O,X,X
boldly,O,X,X
I,O,X,X
am,O,X,X
Death,B,Death,neutral
answered,O,X,X
the,B,Death,bad
other,I,Death,bad
No,O,X,X
one,O,X,X
resists,O,X,X
me,O,X,X
and,O,X,X
thou,O,X,X
also,O,X,X
must,O,X,X
obey,O,X,X
my,O,X,X
commands,O,X,X
But,O,X,X
the,B,Giant,neutral
giant,I,Giant,neutral
refused,O,X,X
and,O,X,X
began,O,X,X
to,O,X,X
struggle,O,X,X
with,O,X,X
Death,B,Death,neutral
It,O,X,X
was,O,X,X
a,O,X,X
long,O,X,X
violent,O,X,X
battle,O,X,X
at,O,X,X
last,O,X,X
the,B,Giant,neutral
giant,I,Giant,neutral
got,O,X,X
the,O,X,X
upper,O,X,X
hand,O,X,X
and,O,X,X
struck,O,X,X
Death,B,Death,neutral
down,O,X,X
with,O,X,X
his,O,X,X
fist,O,X,X
so,O,X,X
that,O,X,X
he,O,X,X
dropped,O,X,X
by,O,X,X
a,O,X,X
stone,O,X,X
The,B,Giant,neutral
giant,I,Giant,neutral
went,O,X,X
his,O,X,X
way,O,X,X
