word,entity,name,alignment
There,O,X,X
was,O,X,X
once,O,X,X
on,O,X,X
a,O,X,X
time,O,X,X
a,B,Crabb,neutral
poor,I,Crabb,neutral
peasant,I,Crabb,neutral
called,O,X,X
Crabb,B,Crabb,neutral
who,O,X,X
drove,O,X,X
with,O,X,X
two,O,X,X
oxen,O,X,X
a,O,X,X
load,O,X,X
of,O,X,X
wood,O,X,X
to,O,X,X
the,O,X,X
town,O,X,X
and,O,X,X
sold,O,X,X
it,O,X,X
to,O,X,X
a,B,Dr,good
doctor,I,Dr,good
for,O,X,X
two,O,X,X
thalers,O,X,X
When,O,X,X
the,O,X,X
money,O,X,X
was,O,X,X
being,O,X,X
counted,O,X,X
out,O,X,X
to,O,X,X
him,O,X,X
it,O,X,X
so,O,X,X
happened,O,X,X
that,O,X,X
the,B,Dr,good
doctor,I,Dr,good
was,O,X,X
sitting,O,X,X
at,O,X,X
table,O,X,X
and,O,X,X
when,O,X,X
the,B,Crabb,neutral
peasant,I,Crabb,neutral
saw,O,X,X
how,O,X,X
daintily,O,X,X
he,O,X,X
ate,O,X,X
and,O,X,X
drank,O,X,X
his,O,X,X
heart,O,X,X
desired,O,X,X
what,O,X,X
he,O,X,X
saw,O,X,X
and,O,X,X
he,O,X,X
would,O,X,X
willingly,O,X,X
have,O,X,X
been,O,X,X
a,O,X,X
doctor,O,X,X
too,O,X,X
So,O,X,X
he,O,X,X
remained,O,X,X
standing,O,X,X
a,O,X,X
while,O,X,X
and,O,X,X
at,O,X,X
length,O,X,X
inquired,O,X,X
if,O,X,X
he,O,X,X
too,O,X,X
could,O,X,X
not,O,X,X
be,O,X,X
a,O,X,X
doctor,O,X,X
Oh,O,X,X
yes,O,X,X
said,O,X,X
the,B,Dr,good
doctor,I,Dr,good
that,O,X,X
is,O,X,X
soon,O,X,X
managed,O,X,X
What,O,X,X
must,O,X,X
I,O,X,X
do,O,X,X
asked,O,X,X
the,B,Crabb,neutral
peasant,I,Crabb,neutral
In,O,X,X
the,O,X,X
first,O,X,X
place,O,X,X
buy,O,X,X
thyself,O,X,X
an,O,X,X
A,O,X,X
B,O,X,X
C,O,X,X
book,O,X,X
of,O,X,X
the,O,X,X
kind,O,X,X
which,O,X,X
has,O,X,X
a,O,X,X
cock,O,X,X
on,O,X,X
the,O,X,X
frontispiece,O,X,X
in,O,X,X
the,O,X,X
second,O,X,X
turn,O,X,X
thy,O,X,X
cart,O,X,X
and,O,X,X
thy,O,X,X
two,O,X,X
oxen,O,X,X
into,O,X,X
money,O,X,X
and,O,X,X
get,O,X,X
thyself,O,X,X
some,O,X,X
clothes,O,X,X
and,O,X,X
whatsoever,O,X,X
else,O,X,X
pertains,O,X,X
to,O,X,X
medicine,O,X,X
thirdly,O,X,X
have,O,X,X
a,O,X,X
sign,O,X,X
painted,O,X,X
for,O,X,X
thyself,O,X,X
with,O,X,X
the,O,X,X
words,O,X,X
I,O,X,X
am,O,X,X
Doctor,B,Crabb,neutral
Knowall,I,Crabb,neutral
and,O,X,X
have,O,X,X
that,O,X,X
nailed,O,X,X
up,O,X,X
above,O,X,X
thy,O,X,X
housedoor,O,X,X
The,B,Crabb,neutral
peasant,I,Crabb,neutral
did,O,X,X
everything,O,X,X
that,O,X,X
he,O,X,X
had,O,X,X
been,O,X,X
told,O,X,X
to,O,X,X
do,O,X,X
When,O,X,X
he,O,X,X
had,O,X,X
doctored,O,X,X
people,O,X,X
awhile,O,X,X
but,O,X,X
not,O,X,X
long,O,X,X
