word,entity,name,alignment
There,O,X,X
was,O,X,X
once,O,X,X
a,O,X,X
young,B,Huntsman,neutral
huntsman,I,Huntsman,neutral
who,O,X,X
went,O,X,X
into,O,X,X
the,O,X,X
forest,O,X,X
to,O,X,X
lie,O,X,X
in,O,X,X
wait,O,X,X
He,O,X,X
had,O,X,X
a,O,X,X
fresh,O,X,X
and,O,X,X
joyous,O,X,X
heart,O,X,X
and,O,X,X
as,O,X,X
he,O,X,X
was,O,X,X
going,O,X,X
thither,O,X,X
whistling,O,X,X
upon,O,X,X
a,O,X,X
leaf,O,X,X
an,O,X,X
ugly,B,Crone,neutral
old,I,Crone,neutral
crone,I,Crone,neutral
came,O,X,X
up,O,X,X
who,O,X,X
spoke,O,X,X
to,O,X,X
him,O,X,X
and,O,X,X
said,O,X,X
Goodday,O,X,X
dear,B,Huntsman,good
huntsman,I,Huntsman,good
truly,O,X,X
you,O,X,X
are,O,X,X
merry,O,X,X
and,O,X,X
contented,O,X,X
but,O,X,X
I,O,X,X
am,O,X,X
suffering,O,X,X
from,O,X,X
hunger,O,X,X
and,O,X,X
thirst,O,X,X
do,O,X,X
give,O,X,X
me,O,X,X
an,O,X,X
alms,O,X,X
The,B,Huntsman,good
huntsman,I,Huntsman,good
had,O,X,X
compassion,O,X,X
on,O,X,X
the,B,Crone,neutral
poor,I,Crone,neutral
old,I,Crone,neutral
creature,I,Crone,neutral
felt,O,X,X
in,O,X,X
his,O,X,X
pocket,O,X,X
and,O,X,X
gave,O,X,X
her,O,X,X
what,O,X,X
he,O,X,X
could,O,X,X
afford,O,X,X
He,O,X,X
was,O,X,X
then,O,X,X
about,O,X,X
to,O,X,X
go,O,X,X
further,O,X,X
but,O,X,X
the,B,Crone,good
old,I,Crone,good
woman,I,Crone,good
stopped,O,X,X
him,O,X,X
and,O,X,X
said,O,X,X
Listen,O,X,X
dear,B,Huntsman,good
huntsman,I,Huntsman,good
to,O,X,X
what,O,X,X
I,O,X,X
tell,O,X,X
you,O,X,X
I,O,X,X
will,O,X,X
make,O,X,X
you,O,X,X
a,O,X,X
present,O,X,X
in,O,X,X
return,O,X,X
for,O,X,X
your,O,X,X
kindness,O,X,X
Go,O,X,X
on,O,X,X
your,O,X,X
way,O,X,X
now,O,X,X
but,O,X,X
in,O,X,X
a,O,X,X
little,O,X,X
while,O,X,X
you,O,X,X
will,O,X,X
come,O,X,X
to,O,X,X
a,O,X,X
tree,O,X,X
whereon,O,X,X
nine,B,Birds,neutral
birds,I,Birds,neutral
are,O,X,X
sitting,O,X,X
which,O,X,X
have,O,X,X
a,O,X,X
cloak,O,X,X
in,O,X,X
their,O,X,X
claws,O,X,X
and,O,X,X
are,O,X,X
plucking,O,X,X
at,O,X,X
it,O,X,X
take,O,X,X
your,O,X,X
gun,O,X,X
and,O,X,X
shoot,O,X,X
into,O,X,X
the,O,X,X
midst,O,X,X
of,O,X,X
them,O,X,X
they,O,X,X
will,O,X,X
let,O,X,X
the,O,X,X
cloak,O,X,X
fall,O,X,X
down,O,X,X
to,O,X,X
you,O,X,X
but,O,X,X
one,O,X,X
of,O,X,X
the,B,Birds,neutral
birds,I,Birds,neutral
will,O,X,X
be,O,X,X
hurt,O,X,X
and,O,X,X
will,O,X,X
drop,O,X,X
down,O,X,X
dead,O,X,X
Carry,O,X,X
away,O,X,X
the,O,X,X
cloak,O,X,X
it,O,X,X
is,O,X,X
a,O,X,X
wishingcloak,O,X,X
when,O,X,X
you,O,X,X
throw,O,X,X
