word,entity,name,alignment
It,O,X,X
was,O,X,X
so,O,X,X
terribly,O,X,X
cold,O,X,X
Snow,O,X,X
was,O,X,X
falling,O,X,X
and,O,X,X
it,O,X,X
was,O,X,X
almost,O,X,X
dark,O,X,X
Evening,O,X,X
came,O,X,X
on,O,X,X
the,O,X,X
last,O,X,X
evening,O,X,X
of,O,X,X
the,O,X,X
year,O,X,X
In,O,X,X
the,O,X,X
cold,O,X,X
and,O,X,X
gloom,O,X,X
a,B,match girl,good
poor,I,match girl,good
little,I,match girl,good
girl,I,match girl,good
bareheaded,O,X,X
and,O,X,X
barefoot,O,X,X
was,O,X,X
walking,O,X,X
through,O,X,X
the,O,X,X
streets,O,X,X
Of,O,X,X
course,O,X,X
when,O,X,X
she,O,X,X
had,O,X,X
left,O,X,X
her,O,X,X
house,O,X,X
shed,O,X,X
had,O,X,X
slippers,O,X,X
on,O,X,X
but,O,X,X
what,O,X,X
good,O,X,X
had,O,X,X
they,O,X,X
been,O,X,X
They,O,X,X
were,O,X,X
very,O,X,X
big,O,X,X
slippers,O,X,X
way,O,X,X
too,O,X,X
big,O,X,X
for,O,X,X
her,O,X,X
for,O,X,X
they,O,X,X
belonged,O,X,X
to,O,X,X
her,B,mother,neutral
mother,I,mother,neutral
The,B,match girl,good
little,I,match girl,good
girl,I,match girl,good
had,O,X,X
lost,O,X,X
them,O,X,X
running,O,X,X
across,O,X,X
the,O,X,X
road,O,X,X
where,O,X,X
two,O,X,X
carriages,O,X,X
had,O,X,X
rattled,O,X,X
by,O,X,X
terribly,O,X,X
fast,O,X,X
One,O,X,X
slipper,O,X,X
shed,O,X,X
not,O,X,X
been,O,X,X
able,O,X,X
to,O,X,X
find,O,X,X
again,O,X,X
and,O,X,X
a,B,boy,neutral
boy,I,boy,neutral
had,O,X,X
run,O,X,X
off,O,X,X
with,O,X,X
the,O,X,X
other,O,X,X
saying,O,X,X
he,O,X,X
could,O,X,X
use,O,X,X
it,O,X,X
very,O,X,X
well,O,X,X
as,O,X,X
a,O,X,X
cradle,O,X,X
some,O,X,X
day,O,X,X
when,O,X,X
he,O,X,X
had,O,X,X
children,O,X,X
of,O,X,X
his,O,X,X
own,O,X,X
And,O,X,X
so,O,X,X
the,B,match girl,neutral
little,I,match girl,neutral
girl,I,match girl,neutral
walked,O,X,X
on,O,X,X
her,O,X,X
naked,O,X,X
feet,O,X,X
which,O,X,X
were,O,X,X
quite,O,X,X
red,O,X,X
and,O,X,X
blue,O,X,X
with,O,X,X
the,O,X,X
cold,O,X,X
In,O,X,X
an,O,X,X
old,O,X,X
apron,O,X,X
she,O,X,X
carried,O,X,X
several,O,X,X
packages,O,X,X
of,O,X,X
matches,O,X,X
and,O,X,X
she,O,X,X
held,O,X,X
a,O,X,X
box,O,X,X
of,O,X,X
them,O,X,X
in,O,X,X
her,O,X,X
hand,O,X,X
No,O,X,X
one,O,X,X
had,O,X,X
bought,O,X,X
any,O,X,X
from,O,X,X
her,O,X,X
all,O,X,X
day,O,X,X
long,O,X,X
and,O,X,X
no,O,X,X
one,O,X,X
had,O,X,X
given,O,X,X
her,O,X,X
a,O,X,X
cent,O,X,X
Shivering,O,X,X
with,O,X,X
cold,O,X,X
and,O,X,X
hunger,O,X,X
she,O,X,X
crept,O,X,X
along,O,X,X
a,O,X,X
picture,O,X,X
of,O,X,X
misery,O,X,X
poor,B,match girl,neutral
little,I,match girl,neutral
girl,I,match girl,neutral
The,O,X,X
snowflakes,O,X,X
fell,O,X,X
on,O,X,X
her,O,X,X
long,O,X,X
fair,O,X,X
hair,O,X,X
which,O,X,X
hung,O,X,X
in,O,X,X
pretty,O,X,X
curls,O,X,X
over,O,X,X
her,O,X,X
neck,O,X,X
In,O,X,X
all,O,X,X
the,O,X,X
windows,O,X,X
lights,O,X,X
were,O,X,X
shining,O,X,X
and,O,X,X
there,O,X,X
was,O,X,X
a,O,X,X
wonderful,O,X,X
smell,O,X,X
of,O,X,X
roast,O,X,X
goose,O,X,X
for,O,X,X
it,O,X,X
was,O,X,X
New,O,X,X
Years,O,X,X
eve,O,X,X
Yes,O,X,X
she,O,X,X
thought,O,X,X
of,O,X,X
that,O,X,X
In,O,X,X
a,O,X,X
corner,O,X,X
formed,O,X,X
by,O,X,X
two,O,X,X
